metric;timestamp;ts_join;type;rt1_value;rt2_value;rt3_value;rt4_value;rt5_value;rt6_value;rt7_value;rt8_value;rt9_value;rt10_value;Total
Table.WriteLatency.lucasdb.tw_ttl_2h_10min;1509481188;50316039;mean;0,056961;0,055073;0,143898;0,06016;0,076511;0,0843;0,066723;0,051285;0,064557;0,078361;0,0737829
Table.WriteLatency.lucasdb.tw_ttl_2h_10min;1509481218;50316040;mean;0,052866;0,055823;0,14604;0,066876;0,073311;0,07609;0,071518;0,047722;0,068477;0,071795;0,0730518
Table.WriteLatency.lucasdb.tw_ttl_2h_10min;1509481248;50316041;mean;0,053349;0,057187;0,143679;0,062426;0,074443;0,067281;0,071294;0,048633;0,065968;0,07486;0,071912
Table.WriteLatency.lucasdb.tw_ttl_2h_10min;1509481278;50316042;mean;0,052534;0,058721;0,138494;0,063572;0,076368;0,070429;0,06435;0,051911;0,066168;0,073444;0,0715991
Table.WriteLatency.lucasdb.tw_ttl_2h_10min;1509481308;50316043;mean;0,055234;0,05809;0,139337;0,066815;0,073663;0,072379;0,069462;0,049714;0,062273;0,077533;0,07245
Table.WriteLatency.lucasdb.tw_ttl_2h_10min;1509481338;50316044;mean;0,056008;0,056496;0,130715;0,065155;0,069777;0,081144;0,068283;0,0506;0,064664;0,081276;0,0724118
Table.WriteLatency.lucasdb.tw_ttl_2h_10min;1509481368;50316045;mean;0,051107;0,052991;0,119721;0,065942;0,067822;0,08171;0,06945;0,053618;0,062893;0,075876;0,070113
Table.WriteLatency.lucasdb.tw_ttl_2h_10min;1509481398;50316046;mean;0,050243;0,054199;0,135511;0,067428;0,069116;0,076405;0,064179;0,049947;0,065182;0,077772;0,0709982
Table.WriteLatency.lucasdb.tw_ttl_2h_10min;1509481428;50316047;mean;0,051705;0,057831;0,13157;0,062835;0,070256;0,075674;0,066625;0,046825;0,070266;0,082253;0,071584
Table.WriteLatency.lucasdb.tw_ttl_2h_10min;1509481458;50316048;mean;0,053058;0,055289;0,139208;0,066684;0,075044;0,072958;0,067002;0,049221;0,071666;0,087872;0,0738002
Table.WriteLatency.lucasdb.tw_ttl_2h_10min;1509481488;50316049;mean;0,049705;0,05496;0,136715;0,064701;0,067371;0,073465;0,070787;0,048917;0,063473;0,084163;0,0714257
Table.WriteLatency.lucasdb.tw_ttl_2h_10min;1509481518;50316050;mean;0,055657;0,05846;0,127634;0,056974;0,075675;0,077946;0,072055;0,054388;0,056879;0,075184;0,0710852
Table.WriteLatency.lucasdb.tw_ttl_2h_10min;1509481548;50316051;mean;0,051057;0,057459;0,129214;0,056947;0,077127;0,069698;0,069064;0,057143;0,057934;0,070343;0,0695986
Table.WriteLatency.lucasdb.tw_ttl_2h_10min;1509481578;50316052;mean;0,048696;0,058223;0,138071;0,060543;0,075029;0,06789;0,071783;0,054738;0,058852;0,068238;0,0702063
Table.WriteLatency.lucasdb.tw_ttl_2h_10min;1509481608;50316053;mean;0,055945;0,05273;0,137331;0,061852;0,07443;0,068912;0,069882;0,053119;0,057881;0,072267;0,0704349
Table.WriteLatency.lucasdb.tw_ttl_2h_10min;1509481638;50316054;mean;0,052303;0,055071;0,137598;0,060158;0,0719;0,075549;0,068112;0,054913;0,056607;0,079158;0,0711369
Table.WriteLatency.lucasdb.tw_ttl_2h_10min;1509481668;50316055;mean;0,055578;0,060521;0,13681;0,060481;0,071546;0,071;0,068176;0,056055;0,054399;0,074692;0,0709258
Table.WriteLatency.lucasdb.tw_ttl_2h_10min;1509481698;50316056;mean;0,052941;0,059712;0,134379;0,059648;0,072377;0,073466;0,071339;0,054561;0,060881;0,077739;0,0717043
Table.WriteLatency.lucasdb.tw_ttl_2h_10min;1509481728;50316057;mean;0,051132;0,059222;0,144792;0,060295;0,074313;0,069645;0,069123;0,061805;0,059596;0,077707;0,072763
Table.WriteLatency.lucasdb.tw_ttl_2h_10min;1509481758;50316058;mean;0,05167;0,055537;0,153132;0,063407;0,084013;0,067076;0,072834;0,059126;0,063518;0,071877;0,074219
Table.WriteLatency.lucasdb.tw_ttl_2h_10min;1509481788;50316059;mean;0,052892;0,053316;0,167094;0,058695;0,073124;0,070564;0,076105;0,052503;0,067054;0,076978;0,0748325
