metric_join	timestamp	ts_join	rt1_value	rt2_value	rt3_value	rt4_value	rt5_value	rt6_value	rt7_value	rt8_value	rt9_value	rt10_value
iostat.sda.write_byte_per_second	1511276146	50375871	9815165.446	NULL	NULL	2551781.839	NULL	3595948.077	NULL	2903468.486	NULL	NULL
iostat.sda.write_byte_per_second	1511276176	50375872	3554528.715	NULL	NULL	3666789.083	NULL	2930395.256	NULL	1448166.175	NULL	NULL
iostat.sda.write_byte_per_second	1511276206	50375873	9312390.515	NULL	NULL	2557337.979	NULL	1693701.834	NULL	3852969.013	NULL	NULL
iostat.sda.write_byte_per_second	1511276236	50375874	5941237.756	NULL	NULL	1587124.223	NULL	3050552.165	NULL	8998906.936	NULL	NULL
iostat.sda.write_byte_per_second	1511276266	50375875	6711406.867	NULL	NULL	3426103.601	NULL	2762479.109	NULL	5801774.153	NULL	NULL
iostat.sda.write_byte_per_second	1511276296	50375876	6500458.243	NULL	NULL	1486293.598	NULL	1202931.925	NULL	1245873.950	NULL	NULL
iostat.sda.write_byte_per_second	1511276326	50375877	4624488.830	NULL	NULL	2550136.489	NULL	3681763.748	NULL	2708360.753	NULL	NULL
iostat.sda.write_byte_per_second	1511276356	50375878	4145288.138	NULL	NULL	3363011.553	NULL	8516812.800	NULL	1994369.380	NULL	NULL
iostat.sda.write_byte_per_second	1511276386	50375879	6460296.483	NULL	NULL	7545867.176	NULL	3790690.743	NULL	2949935.065	NULL	NULL
iostat.sda.write_byte_per_second	1511276416	50375880	7105929.879	NULL	NULL	4830977.408	NULL	3677828.061	NULL	1210425.378	NULL	NULL
iostat.sda.write_byte_per_second	1511276446	50375881	1676898.576	NULL	NULL	2083271.567	NULL	2108012.470	NULL	2335971.604	NULL	NULL
iostat.sda.write_byte_per_second	1511276476	50375882	2667042.813	NULL	NULL	1086395.846	NULL	1692257.411	NULL	3280989.772	NULL	NULL
iostat.sda.write_byte_per_second	1511276506	50375883	1845003.242	NULL	NULL	3513268.111	NULL	3378538.464	NULL	1820064.206	NULL	NULL
iostat.sda.write_byte_per_second	1511276536	50375884	3959184.509	NULL	NULL	3593379.110	NULL	3244040.866	NULL	3663347.362	NULL	NULL
iostat.sda.write_byte_per_second	1511276566	50375885	1552352.406	NULL	NULL	1922321.032	NULL	2298598.096	NULL	1583566.130	NULL	NULL
iostat.sda.write_byte_per_second	1511276596	50375886	2044679.031	NULL	NULL	1791613.396	NULL	1202381.260	NULL	1950104.872	NULL	NULL
iostat.sda.write_byte_per_second	1511276626	50375887	2660761.812	NULL	NULL	1921273.066	NULL	2743381.898	NULL	2965640.934	NULL	NULL
iostat.sda.write_byte_per_second	1511276656	50375888	2066746.875	NULL	NULL	2912392.140	NULL	1863953.200	NULL	2148898.851	NULL	NULL
iostat.sda.write_byte_per_second	1511276686	50375889	3763852.497	NULL	NULL	1764395.293	NULL	4131769.106	NULL	3906871.562	NULL	NULL
